Category,Price,Rating,Stock,Discount
C,5548.0,1.870322016,In Stock,0.0
C,3045.0,4.757798058,In Stock,38.0
C,4004.0,3.082060052,In Stock,0.0
C,4808.0,1.492084885,In Stock,33.0
C,1817.0,3.082060052,Out of Stock,23.0
C,3522.0,3.082060052,In Stock,25.0
C,667.0,3.668340748,In Stock,41.0
A,7125.0,4.983998118,Out of Stock,7.0
A,2777.0,2.678384421,In Stock,6.0
C,463.0,4.626187281,In Stock,3.0
A,1151.0,2.947838085,In Stock,25.0
A,3772.0,4.890749963,In Stock,45.0
C,7719.0,2.982241782,In Stock,4.0
C,8416.0,1.270942732,In Stock,29.0
B,8530.0,3.082060052,In Stock,10.0
A,7936.0,3.032832041,In Stock,44.0
B,9319.0,3.479063512,In Stock,28.0
C,4996.5,4.097463657,In Stock,40.0
D,2066.0,3.082060052,In Stock,30.0
B,1784.0,3.082060052,In Stock,12.0
C,5589.0,3.082060052,In Stock,39.0
C,4996.5,3.082060052,Out of Stock,25.0
C,4176.0,2.264050692,In Stock,42.0
D,407.0,2.774269878,In Stock,44.0
C,7011.0,3.082060052,In Stock,38.0
C,8418.0,3.082060052,In Stock,25.0
C,3405.0,3.082060052,In Stock,48.0
D,1732.0,3.082060052,In Stock,25.0
B,5850.0,2.264393101,Out of Stock,43.0
C,4996.5,2.357527106,In Stock,22.0
C,704.0,3.082060052,In Stock,47.0
C,2343.0,1.863224511,Out of Stock,17.0
C,4996.5,3.082060052,In Stock,25.0
C,1910.0,3.849494883,Out of Stock,14.0
C,9307.0,3.082060052,Out of Stock,21.0
C,2331.0,3.952257435,In Stock,43.0
D,6164.0,4.305789482,Out of Stock,1.0
B,8060.0,1.905802489,Out of Stock,43.0
C,5607.0,4.789502194,In Stock,15.0
C,4730.0,3.082060052,In Stock,30.0
C,9230.0,3.082060052,In Stock,8.0
C,1112.0,3.082060052,In Stock,38.0
C,4390.0,3.082060052,In Stock,34.0
C,8484.0,3.082060052,Out of Stock,36.0
D,6415.0,4.984170226,Out of Stock,12.0
C,4589.0,3.082060052,Out of Stock,47.0
A,2260.0,3.082060052,In Stock,37.0
C,1759.0,4.455343994,In Stock,37.0
C,7190.0,1.924305492,In Stock,25.0
C,8675.0,2.778260648,Out of Stock,25.0
C,5412.0,3.082060052,Out of Stock,24.0
A,6304.0,3.082060052,In Stock,31.0
C,9870.0,2.803686494,Out of Stock,37.0
C,1134.0,2.886833031,In Stock,15.0
B,9795.0,3.082060052,In Stock,17.0
B,3445.0,3.082060052,In Stock,3.0
C,8421.0,1.33825381,In Stock,2.0
C,3236.0,4.951183214,Out of Stock,2.0
C,1624.0,3.082060052,Out of Stock,34.0
C,806.0,4.170806834,In Stock,8.0
C,9888.0,3.082060052,In Stock,29.0
C,8773.0,1.865998305,Out of Stock,17.0
D,3977.0,3.082060052,Out of Stock,32.0
D,2251.0,3.082060052,In Stock,25.0
C,7842.0,3.082060052,In Stock,30.0
A,5006.0,3.835636274,Out of Stock,25.0
C,3182.0,3.082060052,In Stock,13.0
C,1136.0,3.082060052,In Stock,19.0
C,1066.0,3.082060052,Out of Stock,10.0
B,1029.0,4.464129273,In Stock,38.0
C,1788.0,3.082060052,Out of Stock,7.0
C,6249.0,3.082060052,In Stock,16.0
D,8026.0,3.082060052,In Stock,46.0
A,9516.0,1.657350437,In Stock,5.0
C,859.0,1.227945643,In Stock,49.0
C,6792.0,2.493790635,In Stock,26.0
C,8631.0,3.30848051,In Stock,10.0
C,6491.0,4.645463937,In Stock,16.0
C,4996.5,4.036652101,In Stock,33.0
D,642.0,1.598345401,Out of Stock,28.0
B,4222.0,4.213202928,In Stock,20.0
A,1962.0,4.976201302,In Stock,6.0
C,2119.0,3.661720156,In Stock,40.0
C,1441.0,3.414634864,In Stock,43.0
C,6884.0,3.082060052,In Stock,49.0
D,2544.0,3.082060052,In Stock,25.0
B,6114.0,3.082060052,In Stock,44.0
C,8117.0,3.082060052,In Stock,45.0
C,4996.5,2.581053762,Out of Stock,36.0
A,4077.0,3.082060052,Out of Stock,28.0
D,2877.0,3.13016217,Out of Stock,49.0
B,8723.0,3.750973129,In Stock,41.0
C,8651.0,4.282273714,In Stock,2.0
C,3282.0,3.082060052,Out of Stock,40.0
D,9493.0,2.780461423,Out of Stock,34.0
C,6578.0,3.125260769,In Stock,28.0
C,7187.0,3.082060052,In Stock,12.0
C,1435.0,3.082060052,In Stock,23.0
C,1561.0,2.856089457,In Stock,6.0
C,2778.0,4.647670826,In Stock,43.0
A,4752.0,4.589987921,In Stock,1.0
C,4502.0,3.082060052,In Stock,40.0
C,4996.5,3.082060052,In Stock,1.0
C,578.0,3.68816202,Out of Stock,36.0
C,3137.0,2.530595786,Out of Stock,49.0
C,7417.0,3.516107652,In Stock,43.0
C,8024.0,3.082060052,In Stock,2.0
C,5250.0,3.082060052,In Stock,6.0
C,6554.0,3.082060052,In Stock,29.0
C,7267.0,3.082060052,In Stock,24.0
C,6122.0,2.567716124,In Stock,15.0
C,1362.0,3.91365403,Out of Stock,25.0
C,6562.0,3.619314485,Out of Stock,3.0
C,6879.0,3.082060052,In Stock,8.0
D,6117.0,4.858685977,In Stock,4.0
C,3182.0,4.874851836,In Stock,49.0
C,5427.0,3.082060052,Out of Stock,15.0
C,251.0,3.082060052,In Stock,21.0
C,6250.0,3.082060052,In Stock,33.0
D,4580.0,1.532090175,In Stock,39.0
C,9161.0,2.602243655,In Stock,49.0
C,5821.0,1.168690444,Out of Stock,17.0
C,9990.0,3.082060052,Out of Stock,19.0
C,4347.0,2.568984286,In Stock,3.0
D,2697.0,1.917479682,In Stock,30.0
C,9160.0,4.392384246,Out of Stock,29.0
C,2072.0,3.082060052,In Stock,10.0
C,2122.0,4.860951674,Out of Stock,29.0
C,8731.0,3.082060052,Out of Stock,38.0
D,5031.0,3.082060052,In Stock,4.0
A,6557.0,3.082060052,Out of Stock,32.0
C,3981.0,3.082060052,In Stock,41.0
C,9459.0,3.490351838,Out of Stock,42.0
C,3763.0,3.082060052,In Stock,13.0
A,2466.0,3.082060052,In Stock,12.0
A,6348.0,3.082060052,In Stock,29.0
C,6345.0,3.082060052,Out of Stock,4.0
C,4781.0,3.236473832,Out of Stock,3.0
B,8345.0,3.082060052,Out of Stock,41.0
A,5459.0,3.082060052,Out of Stock,33.0
A,8521.0,1.081564565,Out of Stock,40.0
C,2649.0,1.985444913,In Stock,25.0
C,3101.0,1.922891695,In Stock,6.0
D,357.0,3.082060052,Out of Stock,32.0
B,4299.0,2.938430508,In Stock,29.0
C,9799.0,3.082060052,Out of Stock,34.0
A,8832.0,3.082060052,In Stock,17.0
A,8251.0,4.052873659,In Stock,28.0
A,1465.0,1.835877108,In Stock,25.0
A,9825.0,3.082060052,Out of Stock,22.0
C,6442.0,3.082060052,In Stock,34.0
B,7624.0,3.082060052,In Stock,5.0
B,4061.0,2.88285833,In Stock,28.0
C,190.0,3.082060052,In Stock,0.0
C,4643.0,3.193527429,In Stock,4.0
C,5219.0,3.082060052,Out of Stock,49.0
C,1197.0,1.30071938,Out of Stock,25.0
B,8205.0,4.755317545,Out of Stock,35.0
C,3125.0,3.295946652,In Stock,25.0
D,7239.0,3.610394007,In Stock,48.0
C,262.0,3.082060052,In Stock,36.0
C,7826.0,3.576635436,In Stock,6.0
C,8532.0,4.630347071,In Stock,42.0
D,4625.0,1.718143164,In Stock,36.0
C,4668.0,1.761383383,In Stock,23.0
A,5268.0,3.082060052,In Stock,48.0
C,249.0,2.080916746,In Stock,15.0
C,5908.0,3.082060052,In Stock,42.0
B,9697.0,3.082060052,In Stock,26.0
B,8458.0,3.082060052,In Stock,18.0
C,4741.0,3.082060052,In Stock,27.0
A,6943.0,3.082060052,In Stock,42.0
C,4996.5,3.082060052,In Stock,11.0
C,758.0,1.249497755,In Stock,28.0
C,3169.0,2.619334913,In Stock,25.0
C,7953.0,1.572071266,In Stock,39.0
C,8793.0,3.006402453,Out of Stock,6.0
D,9114.0,3.082060052,In Stock,27.0
C,8893.0,2.519350543,In Stock,25.0
A,8713.0,2.380993261,In Stock,30.0
A,1269.0,3.082060052,In Stock,38.0
C,8069.0,3.082060052,In Stock,31.0
D,6751.0,2.337782569,In Stock,2.0
C,4970.0,2.365565207,In Stock,5.0
C,2323.0,3.082060052,In Stock,25.0
C,4996.5,3.082060052,In Stock,0.0
A,5515.0,4.709545,Out of Stock,25.0
C,8846.0,1.364083153,In Stock,4.0
C,2584.0,3.082060052,Out of Stock,1.0
C,7911.0,2.76573862,Out of Stock,37.0
D,6799.0,3.082060052,Out of Stock,29.0
C,4620.0,4.340548432,In Stock,10.0
C,9424.0,1.076073768,Out of Stock,25.0
C,8409.0,1.696635602,Out of Stock,29.0
C,9063.0,3.62453068,Out of Stock,25.0
C,8405.0,1.218936274,In Stock,48.0
C,8070.0,4.220245877,In Stock,20.0
D,7564.0,2.576792877,In Stock,35.0
D,8555.0,2.381393348,Out of Stock,22.0
C,1870.0,3.082060052,In Stock,32.0
C,6864.0,2.89348282,In Stock,10.0
C,439.0,2.364554355,In Stock,0.0
A,1425.0,1.80376013,In Stock,15.0
C,1612.0,3.032991896,In Stock,16.0
C,1894.0,2.329488148,Out of Stock,25.0
C,8975.0,4.469736334,Out of Stock,32.0
C,807.0,3.082060052,In Stock,13.0
C,2297.0,3.082060052,Out of Stock,21.0
C,7800.0,3.082060052,In Stock,5.0
B,1493.0,3.383623675,Out of Stock,45.0
C,2602.0,3.082060052,In Stock,0.0
D,5381.0,4.767811269,Out of Stock,10.0
B,5429.0,1.746249652,In Stock,6.0
C,734.0,3.082060052,In Stock,10.0
B,3365.0,4.175149078,In Stock,29.0
D,9318.0,3.319298849,In Stock,18.0
C,5220.0,3.082060052,In Stock,0.0
C,381.0,3.093285397,In Stock,17.0
C,8707.0,3.082060052,Out of Stock,39.0
C,3604.0,3.082060052,In Stock,17.0
C,5078.0,4.391163208,Out of Stock,6.0
C,8070.0,3.082060052,In Stock,28.0
C,721.0,3.082060052,In Stock,25.0
C,6921.0,3.082060052,Out of Stock,37.0
D,2622.0,3.082060052,In Stock,22.0
C,7231.0,3.082060052,In Stock,6.0
C,340.0,3.082060052,Out of Stock,27.0
C,9212.0,3.082060052,In Stock,0.0
C,6472.0,3.082060052,In Stock,27.0
C,3978.0,3.082060052,Out of Stock,19.0
C,5746.0,3.082060052,Out of Stock,2.0
C,3956.0,3.455945237,In Stock,23.0
D,8757.0,3.082060052,In Stock,49.0
C,2820.0,3.088923747,In Stock,21.0
D,2001.0,3.082060052,Out of Stock,23.0
C,412.0,3.760118968,Out of Stock,21.0
C,6675.0,3.082060052,In Stock,43.0
A,4317.0,3.082060052,Out of Stock,13.0
C,8507.0,4.575949016,Out of Stock,41.0
C,6784.0,2.087959114,Out of Stock,13.0
C,7635.0,3.082060052,Out of Stock,5.0
C,9529.0,1.460956388,In Stock,31.0
C,1595.0,1.306888079,In Stock,37.0
C,5669.0,3.082060052,Out of Stock,38.0
C,5861.0,1.470392122,Out of Stock,40.0
C,2349.0,3.082060052,Out of Stock,48.0
C,5766.0,3.082060052,Out of Stock,3.0
C,7362.0,3.082060052,Out of Stock,33.0
C,3256.0,2.771753929,In Stock,45.0
C,9284.0,3.082060052,Out of Stock,45.0
C,8597.0,3.517120302,In Stock,23.0
C,4405.0,1.102682255,In Stock,33.0
C,2117.0,3.082060052,In Stock,45.0
A,8642.0,3.082060052,In Stock,43.0
C,4996.5,3.082060052,Out of Stock,3.0
A,6022.0,3.082060052,In Stock,48.0
C,8132.0,2.765849835,In Stock,15.0
C,3170.0,2.198862485,In Stock,18.0
C,2608.0,1.873083818,In Stock,8.0
C,9544.0,1.508629504,In Stock,47.0
C,6220.0,1.410986435,In Stock,32.0
C,1959.0,4.96277529,Out of Stock,45.0
A,1403.0,3.082060052,In Stock,25.0
C,3713.0,3.082060052,Out of Stock,32.0
C,6148.0,3.082060052,In Stock,3.0
C,3862.0,3.813108432,In Stock,22.0
D,9438.0,3.69118375,Out of Stock,36.0
B,395.0,3.082060052,In Stock,24.0
C,6080.0,4.132381742,Out of Stock,18.0
